VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1125.00,6/28/2022
WORK LOSS DATA INSTITUTE,FINANCIAL & TREAS SVCS,4202.00,4/28/2022
"HADADY MACHINING CO., INC.",DIRECT PURCHASES,385.00,5/31/2022
TRANSIT LABOR EXCHANGE,TRAVEL & MEETING EXPENSE,395.00,9/22/2022
STAPLES ADVANTAGE,DIRECT PURCHASES,67.82,4/21/2022
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,22675.39,3/8/2022
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,985.99,8/25/2022
MALKINSON & HALPREN P.C.,GENERAL EXPENSES,2402.00,8/25/2022
"*TONERVISION, INC.",GENERAL EXPENSES,2311.00,8/18/2022
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,4222.90,8/16/2022
"WISCO, INC.",DIRECT PURCHASES,266.30,9/29/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,637049.44,3/1/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,706769.27,4/28/2022
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,241898.38,7/28/2022
"THE MCS GROUP, INC.",ADMINISTRATION & HR,1880.00,5/12/2022
VTECH SOLUTION INC,CONSULTING,3200.00,2/3/2022
HYATT PLACE,TRAVEL & MEETING EXPENSE,575.28,4/4/2022
NADER DAHDALEH,ADMINISTRATION & HR,250.00,8/18/2022
*FALK ASSOCIATES,GENERAL EXPENSES,1662.80,9/15/2022
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,235334.95,4/7/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,22736.93,4/21/2022
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,154097.22,9/29/2022
HEALTHMARK GROUP LLC,ADMINISTRATION & HR,208.98,6/16/2022
LOUIS JOLICOUER,CONTRACTUAL SERVICES,100.00,9/22/2022
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,17926.62,2/8/2022
NSH USA CORPORATION,DIRECT PURCHASES,4723.00,3/22/2022
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,59.00,3/24/2022
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,29342.72,4/26/2022
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,46155.30,5/26/2022
"OER SERVICES, LLC",EQUIPMENT RENTAL,12778.35,7/26/2022
LEXITAS,LEGAL COSTS,1104.03,6/30/2022
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,34.33,8/25/2022
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,143401.01,3/3/2022
TOWN OF CICERO,UTILITIES EXPENSE,574.02,4/7/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,696.00,3/17/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,19578.72,6/24/2022
LARSON SYSTEMS INC,DIRECT PURCHASES,2500.00,8/18/2022
DAVID WISE,CONTRACTUAL SERVICES,12800.00,3/31/2022
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,1160.00,8/25/2022
CLERK OF THE CIRCUIT COURT OF COOK COUNTY,LEGAL COSTS,800.50,7/21/2022
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,128576.00,8/18/2022
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1070.87,6/30/2022
ABSOLUTE REPORTERS,LEGAL COSTS,117.50,9/8/2022
"INTERSECTION MEDIA, LLC",ADVERTISING & PROMOTION,2010.00,4/7/2022
"ALSTOM TRANSPORTATION, INC.",MAINTENANCE & REPAIRS,1200.00,9/15/2022
CDM SMITH INC.,CONTRACTUAL SERVICES,56850.00,3/29/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,1938.75,5/26/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,22239.20,9/8/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,916.30,2/17/2022
"T-MOBILE USA, INC.",UTILITIES EXPENSE,93502.65,1/25/2022
"*GALAXY ENVIRONMENTAL, INC.",MAINTENANCE & REPAIRS,410594.29,1/13/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,11957.65,8/4/2022
GENUINE PARTS COMPANY (NAPA),MATERIAL LOAD/ADJ,2022.10,9/20/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,93780.97,8/18/2022
LINCOLNWOOD POLICE DEPT.,LEGAL COSTS,5.00,1/13/2022
PQR ECONOMICS LLC,LEGAL COSTS,570.00,4/28/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,17133.29,4/12/2022
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,GENERAL EXPENSES,1000.00,7/21/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,897.00,5/12/2022
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,18365.14,6/30/2022
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,71962.18,3/1/2022
DCM COURT REPORTING INC,LEGAL COSTS,1925.23,9/22/2022
CUMMINS INC.,MAINTENANCE & REPAIRS,1551.46,3/8/2022
"THOMPSON COBURN, LLC",LEGAL COSTS,12803.00,8/2/2022
ESSEX BROWNELL,DIRECT PURCHASES,5107.86,6/2/2022
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,13067.82,3/24/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,6/30/2022
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,752.00,6/2/2022
JLM ABUNDANT LIFE COMMUNITY CENTER,TRAVEL & MEETING EXPENSE,750.00,6/16/2022
ANCEL GLINK P.C.,LEGAL COSTS,9050.00,3/24/2022
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,3676.05,9/22/2022
*NAK-MAN CORPORATION,DIRECT PURCHASES,17036.25,1/10/2022
"STEVE'S EQUIPMENT SERVICE, INC.",MAINTENANCE & REPAIRS,2493.61,4/13/2022
"PATCO INDUSTRIES, INC.",MAINTENANCE & REPAIRS,18375.00,7/29/2022
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,1795.97,5/3/2022
ARC IMAGING RESOURCES,MAINTENANCE & REPAIRS,5473.96,4/7/2022
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176.00,8/4/2022
HIRE360,GENERAL EXPENSES,38514.73,1/25/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,9669.55,7/14/2022
"EXPONENT, INC.",LEGAL COSTS,16493.75,2/3/2022
"THOMAS J. WALSH CONSULTING, LLC",CONTRACTUAL SERVICES,6000.00,9/29/2022
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,6757.78,1/19/2022
*AQUAS INCORPORATED,CONTRACTUAL SERVICES,20960.00,1/13/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,872.64,4/12/2022
IAP CONSTRUCTION INC.,MAINTENANCE & REPAIRS,9500.00,5/19/2022
COMMONWEALTH EDISON.,UTILITIES EXPENSE,417695.11,5/5/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,4/21/2022
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,616.11,2/24/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,8/4/2022
COMMONWEALTH EDISON.,UTILITIES EXPENSE,296071.19,2/1/2022
"*ZANN & Associates, Inc.",CONSULTING,50586.78,9/29/2022
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054.00,3/31/2022
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,20492.26,9/29/2022
AMERICAN CONTRACT COMPLIANCE ASSOC.,TRAVEL & MEETING EXPENSE,875.00,7/26/2022
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,3435.00,3/10/2022
REGIONAL TRANSPORTATION AUTHORITY,TECHNOLOGY SERVICES,1677.72,5/12/2022
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1070.87,6/16/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,4833.08,8/18/2022
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,849.00,9/1/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10505.48,2/3/2022
Whelan Security of IL dba GardaWorld,PURCHASE OF SECURITY SERVICES,652350.59,7/7/2022
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,14580.35,9/29/2022
NACTO,GENERAL EXPENSES,12000.00,2/24/2022
"ZIPCAR, INC.",EQUIPMENT RENTAL,92.86,2/3/2022
JACKSON LEWIS PC,LEGAL COSTS,1092.00,5/17/2022
CUMMINS INC.,MAINTENANCE & REPAIRS,1737.85,7/7/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36872.02,3/31/2022
PNC BANK,UTILITIES EXPENSE,264.72,4/15/2022
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,1420450.20,5/3/2022
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,71133.50,5/17/2022
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,1557.12,9/29/2022
"JUST ELEVATOR INSPECTION SERVICE, INC.",MAINTENANCE & REPAIRS,8352.50,4/28/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,474.46,2/1/2022
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,440.00,3/31/2022
"RIB GROUP CONSULTING, INC.",CONSULTING,39100.00,8/11/2022
"TRAPEZE SOFTWARE GROUP, INC",MAINTENANCE & REPAIRS,102584.00,5/26/2022
"THOMPSON COBURN, LLC",LEGAL COSTS,2655.00,5/17/2022
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,89178.53,9/29/2022
Whelan Security of IL dba GardaWorld,PURCHASE OF SECURITY SERVICES,138218.45,9/20/2022
Konecranes,MAINTENANCE & REPAIRS,540.00,1/13/2022
CITY OF EVANSTON,UTILITIES EXPENSE,116.40,2/24/2022
"*DatamanUSA, LLC",GENERAL EXPENSES,8750.50,9/1/2022
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,3235.12,6/16/2022
Konecranes,MAINTENANCE & REPAIRS,3948.72,2/3/2022
PEOPLES GAS,UTILITIES EXPENSE,319973.28,1/3/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,807.14,3/8/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,338.10,9/8/2022
*Kambrian Corporation,TECHNOLOGY SERVICES,10866.60,1/6/2022
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,9338.29,4/21/2022
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,513.00,8/11/2022
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,5/5/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,38994.56,8/18/2022
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,405.24,7/14/2022
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,135.60,7/7/2022
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1026.76,5/19/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,11783.49,6/21/2022
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,20505.58,1/20/2022
"U.S. LEGAL SUPPORT, INCORPORATED",ADMINISTRATION & HR,62.50,5/12/2022
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,29594.43,8/18/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,10797.00,7/5/2022
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,6475.00,9/27/2022
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,868.69,7/29/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,307.00,9/22/2022
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4675.00,1/19/2022
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,146006.95,5/12/2022
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,945.46,4/7/2022
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,10249.84,3/29/2022
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,55198.00,5/12/2022
COGENT Infotech Corporation,GENERAL EXPENSES,960.00,8/11/2022
CHICAGO TRIBUNE,GENERAL EXPENSES,159.92,4/7/2022
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,43419.13,7/7/2022
MP2 ENERGY NE LLC,UTILITIES EXPENSE,277146.39,7/7/2022
CHICAGO TRIBUNE CO.,ADVERTISING & PROMOTION,578.76,8/11/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,33617.82,2/10/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,82752.39,6/9/2022
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,8583.73,9/15/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,176342.10,3/17/2022
"RADICOM, INC.",MAINTENANCE & REPAIRS,17150.00,6/28/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,499165.37,7/7/2022
UNITEC PARTS CO.,DIRECT PURCHASES,7022.39,1/27/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,368175.99,1/3/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1067.55,3/1/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,257435.73,6/9/2022
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,1654.00,9/29/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,47048.00,4/19/2022
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,18789.60,5/12/2022
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,5228.24,4/21/2022
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,948.57,6/23/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,2315.00,2/10/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,1803.70,4/14/2022
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,572189.44,1/13/2022
"CONCARE, INC.",MAINTENANCE & REPAIRS,27083.96,3/24/2022
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,99144.07,6/23/2022
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,2/3/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1343.30,1/25/2022
"*MULTILINGUAL CONNECTIONS, LLC",CONTRACTUAL SERVICES,510.00,4/14/2022
MEDIAAGILITY INC,TECHNOLOGY SERVICES,2907.35,9/1/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,6/30/2022
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,10444.06,8/25/2022
"CHICAGO CHINESE TIMES - U.S.A. PRINTING, INC.",ADVERTISING & PROMOTION,300.00,4/28/2022
RON'S PROCESS SERVICE,CONTRACTUAL SERVICES,91.56,5/5/2022
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,399020.97,9/20/2022
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,589615.58,2/15/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,26656.00,1/27/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,5/12/2022
AMERICAN CONTRACT COMPLIANCE ASSOC.,TRAVEL & MEETING EXPENSE,875.00,7/26/2022
"RIB GROUP CONSULTING, INC.",CONSULTING,20600.00,9/29/2022
PLANET DEPOS LLC,LEGAL COSTS,378.00,7/7/2022
MEDVOC REHABILITATION LTD,ADMINISTRATION & HR,61.25,5/5/2022
LUBY LAW P.C,LEGAL COSTS,2000.00,6/30/2022
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,9727.00,1/26/2022
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000.00,5/19/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,666.25,8/25/2022
POINT OF DIFFERENCE STRATEGIES,CONTRACTUAL SERVICES,6000.00,9/22/2022
CALIBER PACKAGING LLC,MAINTENANCE & REPAIRS,373.75,8/18/2022
Konecranes,MAINTENANCE & REPAIRS,540.00,4/26/2022
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,3192.25,9/1/2022
DLT SOLUTIONS LLC,TECHNOLOGY SERVICES,28709.02,7/13/2022
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,59265.61,7/21/2022
CLERK OF THE CIRCUIT COURT OF COOK COUNTY,LEGAL COSTS,132.00,7/21/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,742278.94,2/24/2022
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,733.15,5/19/2022
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,5875.36,2/23/2022
"JACKSON MARKING PRODUCTS CO., INC.",GENERAL EXPENSES,19.46,8/16/2022
ASTM INTERNATIONAL,GENERAL EXPENSES,21218.00,2/3/2022
Michael Best Strategies,CONTRACTUAL SERVICES,6000.00,3/3/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,6446.29,4/14/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,26902.04,4/28/2022
"*BOYE JANITORIAL SERVICE, INC.",CONTRACTUAL SERVICES,15829.63,4/19/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,1/27/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,600.45,3/22/2022
JASON MAGNANI M.D.,ADMINISTRATION & HR,750.00,9/1/2022
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,7846.64,9/15/2022
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60.00,8/18/2022
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,7599.00,3/22/2022
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,490.00,5/5/2022
METRA,EQUIPMENT RENTAL,25.00,7/14/2022
The Chicago Mosaic School,CONTRACTUAL SERVICES,5850.00,9/29/2022
CINTAS CORPORATION,MAINTENANCE & REPAIRS,1292.72,9/29/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1393.30,1/13/2022
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,9394.80,3/3/2022
ORR SAFETY CORPORATION,MAINTENANCE & REPAIRS,6279.59,5/19/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,139949.53,9/27/2022
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,37533.93,3/3/2022
"WISS, JANNEY, ELSTNER  ASSOCIATES, INC.",CONSULTING,10000.00,4/21/2022
"NAC GROUP, INC.",DIRECT PURCHASES,299.88,9/29/2022
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,77.90,4/26/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,20665.94,9/6/2022
AVONDALE INVESTORS LLC,FACILITY RENTAL,25500.00,3/1/2022
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,1508291.42,3/17/2022
PEOPLES GAS,UTILITIES EXPENSE,99838.10,3/8/2022
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,1295.97,7/14/2022
CANADIAN URBAN TRANSIT ASSOC.,TRAVEL & MEETING EXPENSE,11550.00,7/29/2022
FUSION ENGINEERING LLC,LEGAL COSTS,9884.00,3/31/2022
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176.00,7/14/2022
KONE SPARES,DIRECT PURCHASES,15530.19,2/17/2022
EQUIP FOR EQUALITY INC.,GENERAL EXPENSES,10000.00,5/5/2022
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,2524.49,3/3/2022
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,53184.58,3/31/2022
"CROWE, LLP",FINANCIAL & TREAS SVCS,60000.00,7/7/2022
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,82.99,9/8/2022
"CONCARE, INC.",MAINTENANCE & REPAIRS,24977.76,6/30/2022
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,708256.46,6/14/2022
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,706.35,2/8/2022
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,1370.00,4/21/2022
"RAILROAD MANAGEMENT COMPANY III, LLC",EQUIPMENT RENTAL,313.34,1/20/2022
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,18983.83,2/10/2022
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,59265.61,7/7/2022
JAMES DOYLE,OTHER LABOR,56000.00,4/14/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,19592.20,5/26/2022
Konecranes,MAINTENANCE & REPAIRS,32884.73,5/26/2022
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,274.95,6/2/2022
"DATA WEIGHING SYSTEMS, INC.",MAINTENANCE & REPAIRS,340.00,7/21/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,3/10/2022
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,1938.87,6/30/2022
GRANT LAW LLC,LEGAL COSTS,1604.00,3/8/2022
ZUBER LAWLER LLP,LEGAL COSTS,3621.05,2/22/2022
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,412728.10,5/3/2022
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,2/10/2022
"*PF APPRAISALS, INC. dba PRAEDIUM VALUATION GROUP, INC.",LEGAL COSTS,2950.00,8/25/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,1862.36,8/16/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,2/24/2022
"TVEYES, INC.",CONTRACTUAL SERVICES,3420.00,7/29/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,6753.50,1/3/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,310.00,3/31/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2172.99,6/7/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,28053.96,9/22/2022
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4830.76,9/29/2022
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,32.50,6/16/2022
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,17063.31,7/7/2022
SECRETARY OF STATE.........,LEGAL COSTS,10.00,7/21/2022
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,31622.58,5/19/2022
DAVID W ROBERTS,ADMINISTRATION & HR,750.00,2/10/2022
"CHICAGO UNITED INDUSTRIES, LTD.",EQUIPMENT RENTAL,1453.46,7/19/2022
"THE MCS GROUP, INC.",ADMINISTRATION & HR,3198.27,8/18/2022
"*PRODUCTION DISTRIBUTION COMPANIES, INC.",DIRECT PURCHASES,8899.28,1/13/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,921.98,1/19/2022
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,513.00,8/25/2022
HENNEPIN HEALTHCARE SYSTEM INC,ADMINISTRATION & HR,250.00,2/17/2022
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,7/8/2022
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,22845.00,4/19/2022
PNC BANK,TRAVEL & MEETING EXPENSE,279.04,3/18/2022
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,592.00,8/25/2022
ASSOCIATION FOR TALENT DEVELOPMENT,GENERAL EXPENSES,2454.00,9/1/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,1847.10,8/25/2022
"*DatamanUSA, LLC",GENERAL EXPENSES,592.00,8/25/2022
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,321560.35,8/25/2022
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,7311.04,8/30/2022
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,33.90,2/24/2022
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,402363.19,7/26/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,59911.58,6/14/2022
ANCEL GLINK P.C.,LEGAL COSTS,26055.00,2/24/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36906.77,8/25/2022
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,4830.75,7/21/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,344.05,3/31/2022
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,30250.00,4/14/2022
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,19938.66,6/9/2022
SPECTRIO,CONTRACTUAL SERVICES,1690.56,9/15/2022
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,348308.86,2/17/2022
MP2 ENERGY NE LLC,UTILITIES EXPENSE,285761.59,8/4/2022
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,407358.50,6/2/2022
VCLOUD TECH INC.,MAINTENANCE & REPAIRS,15420.87,8/11/2022
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,1/27/2022
UNITEC PARTS CO.,DIRECT PURCHASES,4105.47,2/17/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,10599.34,3/3/2022
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,6000.00,3/10/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,2/17/2022
"OER SERVICES, LLC",EQUIPMENT RENTAL,900.00,1/19/2022
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,25313.41,5/12/2022
"OER SERVICES, LLC",DIRECT PURCHASES,217.14,2/8/2022
COMMONWEALTH EDISON.,UTILITIES EXPENSE,417389.87,5/5/2022
PEOPLES GAS,UTILITIES EXPENSE,30094.88,4/26/2022
PEOPLES GAS,UTILITIES EXPENSE,98356.85,3/1/2022
